Project,Version,Bug_ID,Method,GTF,Top_Rank,MRR,MAP
pallets+flask,0.12.2,2411,buglocator,2,1,1,0.833333333
pallets+flask,0.12.2,2411,bluir,2,7,0.142857143,0.196428571
pallets+flask,0.8,382,buglocator,1,1,1,1
pallets+flask,0.8,382,bluir,1,9,0.111111111,0.111111111
pallets+flask,0.9,618,buglocator,1,1,1,1
pallets+flask,0.9,618,bluir,1,75,0.013333333,0.013333333
pallets+flask,1.0.3,3214,buglocator,2,2,0.5,0.361111111
pallets+flask,1.0.3,3214,bluir,2,1,1,1
pallets+flask,1.0.3,3224,buglocator,2,1,1,0.642857143
pallets+flask,1.0.3,3224,bluir,2,1,1,0.666666667
pallets+flask,1.1.2,3776,buglocator,1,3,0.333333333,0.333333333
pallets+flask,1.1.2,3776,bluir,1,10,0.1,0.1
pallets+jinja,2.9.4,668,buglocator,2,8,0.125,0.121323529
pallets+jinja,2.9.4,668,bluir,2,2,0.5,0.392857143
pallets+jinja,2.9.4,669,buglocator,2,4,0.25,0.175
pallets+jinja,2.9.4,669,bluir,2,3,0.333333333,0.25
pallets+jinja,2.9.5,675,buglocator,2,3,0.333333333,0.25
pallets+jinja,2.9.5,675,bluir,2,5,0.2,0.266666667
pandas-dev+pandas,v2.0.0rc1,52197,buglocator,2,1,1,0.833333333
pandas-dev+pandas,v2.0.0rc1,52197,bluir,2,1,1,0.583333333
paramiko+paramiko,2.0.2,854,buglocator,1,7,0.142857143,0.142857143
paramiko+paramiko,2.0.2,854,bluir,1,1,1,1
paramiko+paramiko,2.1.2,915,buglocator,3,1,1,0.698412698
paramiko+paramiko,2.1.2,915,bluir,3,1,1,0.588888889
psf+requests,v1.0.3,1051,buglocator,2,1,1,0.6
psf+requests,v1.0.3,1051,bluir,2,11,0.090909091,0.05974026
psf+requests,v1.1.0,1183,buglocator,1,1,1,1
psf+requests,v1.1.0,1183,bluir,1,1,1,1
psf+requests,v2.0.0,1655,buglocator,3,3,0.333333333,0.277777778
psf+requests,v2.0.0,1655,bluir,3,1,1,0.757575758
psf+requests,v2.0.1,1767,buglocator,1,2,0.5,0.5
psf+requests,v2.0.1,1767,bluir,1,75,0.013333333,0.013333333
psf+requests,v2.11.1,3659,buglocator,2,1,1,1
psf+requests,v2.11.1,3659,bluir,2,1,1,1
psf+requests,v2.2.1,1920,buglocator,2,1,1,0.833333333
psf+requests,v2.2.1,1920,bluir,2,1,1,0.75
psf+requests,v2.21.0,5048,buglocator,2,1,1,0.833333333
psf+requests,v2.21.0,5048,bluir,2,21,0.047619048,0.054112554
psf+requests,v2.26.0,5888,buglocator,3,4,0.25,0.337301587
psf+requests,v2.26.0,5888,bluir,3,1,1,0.633333333
psf+requests,v2.27.1,6104,buglocator,2,1,1,1
psf+requests,v2.27.1,6104,bluir,2,2,0.5,0.583333333
psf+requests,v2.3.0,2071,buglocator,1,1,1,1
psf+requests,v2.3.0,2071,bluir,1,1,1,1
psf+requests,v2.4.3,2345,buglocator,1,2,0.5,0.5
psf+requests,v2.4.3,2345,bluir,1,4,0.25,0.25
psf+requests,v2.5.3,2483,buglocator,1,39,0.025641026,0.025641026
psf+requests,v2.5.3,2483,bluir,1,27,0.037037037,0.037037037
py-pdf+pypdf,3.3.0,1585,buglocator,5,3,0.333333333,0.367028658
py-pdf+pypdf,3.3.0,1585,bluir,5,2,0.5,0.643333333
py-pdf+pypdf,3.6.0,1737,buglocator,2,1,1,0.6
py-pdf+pypdf,3.6.0,1737,bluir,2,1,1,0.7
pydata+numexpr,2.2.2,124,buglocator,1,4,0.25,0.25
pydata+numexpr,2.2.2,124,bluir,1,13,0.076923077,0.076923077
